Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C14, C17, C2, C4, C5, C6, C7, C9",0805,9,100n,
"C11, C3",0805,2,1u,
"C12, C13, C18",0805,3,10u,
"C15, C16",0805,2,15p,
C19,CAP-TH_BD10.0-P5.00-D1.0-FD,1,EEUEB1V331B,C242140
C20,CAP-TH_BD10.0-P5.00-D1.0-FD,1,EEUFR1V681,C178718
"C21, C22, C23",0805,3,10uF,
CN1,CONN-TH_2P-P5.08_DIBO_DB128V-5.08,1,Vin,C2915639
CN2,CONN-TH_2P-P5.08_DIBO_DB128V-5.08,1,5V,C2915639
D1,DO-27_BD5.3-L8.4-P12.40-D1.3-RD,1,1N5824_C7503125,C7503125
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,UART,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,LED_1,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,LED2,
J4,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN1,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,ARGB,
J6,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN2,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN3,
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,FAN4,
"Q1, Q2",TO-220AB-3_L10.4-W4.6-P2.54-L,2,IRLB8721PBF-VB,C7429053
"Q3, Q4, Q5, Q6",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,4,IRLML6344,C5364313
"R1, R2",0805,2,27.4,
"R3, R5",0805,2,1k,
R4,0805,1,10k,
"R6, R7",0805,2,5.1k,
"SW1, SW2",SW-SMD_L3.9-W2.9-LS5.0,2,GT-TC029A-H020-L1N,C778164
U1,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,NCP1117ST33T3G,C26537
U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQ,C113767
U4,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U5,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596SX-5.0/NOPB,C10002
U6,IND-SMD_L11.6-W10.1,1,CYA1050-47UH,C7529419
U7,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A,C192893
U8,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
"USB1, USB2, USB3",USB-A-TH_USB-A-F-90,3,KH-AF90DIP-112,C503996
